return me the homepage of PVLDB . ||| select journal_0.homepage from journal as journal_0 where journal_0.name = " PVLDB " 
return me the authors who have more than 10 papers containing keyword " Relational Database " . ||| select author_0.name from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where keyword_0.keyword = " Relational Database " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid group by author_0.name having count ( distinct ( publication_0.title )  ) > 10
return me the conferences, which have more than 60 papers containing keyword " Relational Database " . ||| select conference_0.name from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by conference_0.name having count ( distinct ( publication_0.title )  ) > 60
return me the journals, which have more than 60 papers containing keyword " Relational Database " . ||| select journal_0.name from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by journal_0.name having count ( distinct ( publication_0.title )  ) > 60
return me the keywords, which have been contained by more than 100 papers in VLDB conference . ||| select keyword_0.keyword from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by keyword_0.keyword having count ( distinct ( publication_0.title )  ) > 100
return me the keywords, which have been contained by more than 100 papers in PVLDB . ||| select keyword_0.keyword from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by keyword_0.keyword having count ( distinct ( publication_0.title )  ) > 100
return me the keywords, which have been contained by more than 10 papers of " H. V. Jagadish " . ||| select keyword_0.keyword from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid group by keyword_0.keyword having count ( distinct ( publication_0.title )  ) > 10
return me the authors who have more than 10 papers in the VLDB conference . ||| select author_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid group by author_0.name having count ( distinct ( publication_0.title )  ) > 10
return me the author who has the most number of papers in the VLDB conference . ||| select author_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid group by author_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the authors who have more papers on VLDB than ICDE . ||| select name_0 from ( select author_0.name as name_0, count ( distinct ( publication_0.title )  ) as count_0 from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid group by author_0.name ) as subquery_0, ( select author_0.name as name_1, count ( distinct ( publication_0.title )  ) as count_1 from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " ICDE " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid group by author_0.name ) as subquery_1 where subquery_0.name_0 = subquery_1.name_1 and subquery_0.count_0 > subquery_1.count_1
return me the author in the " University of Michigan " whose papers have more than 5000 total citations . ||| select author_0.name from author as author_0, organization as organization_0, publication as publication_0, writes as writes_0 where organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and publication_0.pid = writes_0.pid group by author_0.name having sum ( publication_0.citation_num ) > 5000
return me the author in the " University of Michigan " in Databases area whose papers have more than 5000 total citations . ||| select author_0.name from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0, publication as publication_0, writes as writes_0 where domain_0.name = " Databases " and organization_0.name = " University of Michigan " and author_0.aid = domain_author_0.aid and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did and publication_0.pid = writes_0.pid group by author_0.name having sum ( publication_0.citation_num ) > 5000
